,time,steering_angle,steering_rate,angle_error,rate_error,acceleration,reference_angle,reference_rate,torque,measured_input,execution_time,condition,human_noise,role,estimated_human_gain_pos,estimated_human_gain_vel,robot_gain_pos,robot_gain_vel,state_estimate_pos,state_estimate_vel,estimated_human_input,input_estimation_error,robot_cost_pos,robot_cost_vel,estimated_human_cost_1,estimated_human_cost_2
0,0.0025593999999999895,-0.19807741680883642,-3.797986321125684,0.1834795668692837,-0.036164631535138714,-0.3120438113810063,-0.44696784352328006,-3.655204286145559,-0.8191539890635906,0,0.0176186,0,0.0,,0.0,0.0,4.472135954999573,0.583282870817284,-0.19986223719608803,-3.824829765058567,0.0,[0.44077103],20.0,0.2,0.0,0.0
1,0.01833639999999992,-0.25431192530809377,-3.684824589486241,0.1926559182151863,-0.029620303340681886,-0.026230788638634955,-0.5037520401947303,-3.5400933831028025,-0.9186371906833637,0,0.015777,0,0.0,,0.011302122991272092,0.0,4.454769020281881,0.5827443897073029,-0.2548945979764297,-3.7324424941869956,-0.0018026854767486944,0.2815109448879195,19.92239922028197,0.20095260888199132,0.10082443271397881,-0.0012388201610070823
2,0.03276640000000075,-0.30991811527663304,-3.6984570075820864,0.19383392491809726,-0.15836362447928387,0.3902624140224933,-0.5539787380352189,-3.418791691138116,-0.7828987690066191,0,0.01443,0,0.0,,0.0269962333335371,0.0,4.425804918404203,0.5818483553433351,-0.31176084868024595,-3.6319893499546727,-0.0047545127456960976,0.4319955917894668,19.79337088033096,0.20254621415322838,0.2396889211461107,-0.0029590439026954012
3,0.04798470000000066,-0.3648959867144545,-3.6525854550528702,0.1890827513207644,-0.23379376391475404,1.588606690915424,-0.6049299053178584,-3.2744695455194983,-0.7697179515619621,0,0.0152183,0,0.0,,0.04026674814374029,0.0,4.399091261168076,0.5810263349753738,-0.36411435914898643,-3.5335752772023614,-0.0074801059458109356,0.3553570208637653,19.67509766224881,0.20402516612679317,0.35589561075563897,-0.004413618526110682
4,0.06261410000000023,-0.41877430072351945,-3.573451630057805,0.18615560459433894,-0.29898208453830666,2.7119324675162946,-0.6517235318511378,-3.1202463081915823,-0.6812427323541357,0,0.0146294,0,0.0,,0.0551777392642899,0.0,4.370706673313266,0.5801553857030987,-0.4180729240817594,-3.418926826798988,-0.010245622639371382,0.3681603939593319,19.549877966487454,0.20560248695005326,0.4853760093518604,-0.006048004953775574
5,0.07809380000000044,-0.4715530573038279,-3.5480735927326315,0.18017047454730994,-0.4278272845410491,3.2754382002923377,-0.6986585251248107,-2.941165772790642,-0.5885490846843221,0,0.0154797,0,0.0,,0.0681775673145549,0.0,4.344087480018868,0.5793424866857638,-0.46756513412265355,-3.3026362439648533,-0.012558307505920964,0.39881435149296357,19.433076240400066,0.20708990958740892,0.5969868138635338,-0.007472909734119066
6,0.09269830000000034,-0.5226039379246621,-3.4172244883155294,0.17605458720014866,-0.47605871552488743,3.984977424866803,-0.7402916343430339,-2.7580227345821697,-0.5284577818757112,0,0.014604500000000001,0,0.0,,0.08244740937540775,0.0,4.316457483592065,0.5785012399444034,-0.5171023063871834,-3.1716001480252203,-0.01494176715386729,0.37682142689288384,19.312268741584283,0.20863963964525037,0.7185590497152308,-0.009037020127628565
7,0.10782480000000039,-0.5684711906670731,-3.2693676822433577,0.17182044367596083,-0.511344947661188,4.731131889922128,-0.7804907134266923,-2.5548377757572274,-0.46184499398591444,0,0.015126500000000001,0,0.0,,0.09504474200224017,0.0,4.290443095428884,0.5777131767892647,-0.5625228835348993,-3.0383712066396624,-0.01672704530510979,0.3664187433119775,19.199142590254507,0.21010705610575198,0.8246016171429343,-0.010417807581904519
8,0.12321310000000008,-0.6248627787990099,-3.1268261703187736,0.15562793462768243,-0.5719883945615463,6.004473655178964,-0.8181319666719642,-2.335317044296985,-0.37011161386052804,0,0.0153883,0,0.0,,0.10849833805960997,0.0,4.264032572726726,0.5769168005461899,-0.6157472031887475,-2.8639069599632245,-0.01777377143467155,0.34955886191614327,19.084855297093128,0.21160455492390898,0.9370527845074829,-0.011892449651079101
9,0.14098520000000025,-0.6691592352146258,-2.9643591853594926,0.14897273145733836,-0.6290421410625076,6.759105934460356,-0.8572778612539569,-2.067671477963699,-0.2785419226275529,0,0.017772100000000002,0,0.0,,0.11947145660699963,0.0,4.242266226591593,0.5762624347663408,-0.6600916801441671,-2.6956675854300327,-0.01848608481484215,0.3406963878095456,18.990969856001847,0.21284313295683818,1.0279328797549534,-0.013095207796263384
10,0.1555667000000005,-0.7107853378746906,-2.804490457688711,0.14649252337926633,-0.7368189797250118,7.602515617380661,-0.8857663114388425,-1.8385172664077634,-0.20405493282930487,0,0.0145815,0,0.0,,0.1285895679681448,0.0,4.224573814053287,0.5757329731780579,-0.6996766597328995,-2.529195808358448,-0.019866976973087747,0.3111833461821893,18.91500644665647,0.21385477535135525,1.103007520187534,-0.014094639513049454
11,0.17004640000000038,-0.7495840071465245,-2.6170728052779344,0.13618230429231803,-0.778555538870171,8.29811970331101,-0.9106976240382686,-1.604100598814762,-0.12736806986371957,0,0.014479700000000002,0,0.0,,0.13714998371338327,0.0,4.207454766763574,0.5752217986352531,-0.7390025406108816,-2.3427843489823883,-0.019432177556718538,0.2914116732130075,18.841671627416456,0.21483614222842404,1.172914823505423,-0.015032942486746812
