,rms_angle_error,rms_angle_error_rad,rms_rate_error,rms_human_torque,rms_robot_torque,rms_human_power,rms_robot_power,human_angle_cost,robot_angle_cost,human_angle_gain,robot_angle_gain,system_angle_cost,system_angle_gain,authority,condition,condition_number,repetition,cost_variability,rms_estimated_human_torque,settings,participant,conflict
0,6.467708700128319,0.11288281187712178,0.5437676848645806,0.3886582459643419,0.25143551831186717,0.18787089551294878,0.25608831185068404,6.2250112578439,6.465402055038145,1.4132989424490225,1.495806022259793,12.690692123126315,2.9091129296014757,-0.3067217621366839,Positive Reinforcement,1,0,0.0,0.1452320839391132,Good Visuals,0,0.49234364124490404
1,7.2122063698446635,0.12587674748709726,0.5133337045149192,0.3312004850381243,0.23498389465453312,0.17389147173702219,0.2627900835571056,2.844788491376545,3.084564398664372,0.934590402156502,1.0551101461424313,5.93078203361522,1.9894774431279503,-0.37255999644100796,Positive Reinforcement,1,1,2.856476487736055,0.12520400600203155,Good Visuals,0,0.44511672465083446
2,7.605084038088236,0.13273375635550558,0.624448098418631,0.5034456665691638,0.0,0.5009092060348532,0.0,7.486053507149839,0.0,2.7360653331288995,0.0,7.486053507149839,2.7360653331288995,1.0,Manual Control,0,2,3.8397193835688745,0.3588154560716391,Good Visuals,0,0.0
3,7.71088790222704,0.13458038214606047,0.6064739793034588,0.469516928953478,0.0,0.46848043036283415,0.0,6.186974159621072,0.0,2.4873628926276665,0.0,6.186974159621072,2.4873628926276665,1.0,Manual Control,0,3,2.963545841572248,0.3289291698494016,Good Visuals,0,0.0
4,6.456062782103866,0.11267955226317772,0.5268424271581983,0.38467665365817005,0.24758454519426545,0.19022888730486007,0.25348385984227906,5.687442292853047,5.927175060534678,1.3484888223951537,1.4347250053079046,11.616061726787867,2.783297636965572,-0.3293772765300018,Positive Reinforcement,1,2,2.3708371551374814,0.14069732788695036,Good Visuals,0,0.48928766714718896
5,6.399833627232337,0.1116981683750557,0.5159882205692168,0.38865636941007914,0.24547110673533468,0.200554043223174,0.27867994462107853,5.9036091995614886,6.143609199561489,1.3752349596044957,1.459484514752527,12.050310354920455,2.8344076491888575,-0.28825683040886035,Positive Reinforcement,1,3,1.982271280696958,0.14639377028771572,Good Visuals,0,0.45757893161753704
6,5.65887073650089,0.09876592629669699,0.4701959224242806,0.3594146227284203,0.3470255284052504,0.10576506933103698,0.37027024435858635,2.6695288826660346,9.330471117333966,0.46734822434320833,2.622760334550036,11.998943144354254,3.0901637464514806,-0.8278321335528666,Negative Reinforcement,2,0,2.8402519293446042,0.08125302313494465,Good Visuals,0,0.5309
7,4.932421519777185,0.08608699561633447,0.40071333611490534,0.36208455501535125,0.4671563414068997,0.09779930321534547,0.5442018566614777,-5.819525448167759,12.0,-0.7433725828814955,4.28632481090883,6.180474551832241,3.5429135715282922,-1.2629135053218843,Negative Reinforcement,2,1,15.975222581326328,0.07708263162167359,Good Visuals,0,0.6551341537220092
8,4.904953185159083,0.08560758273720905,0.4054151387120525,0.349945796006945,0.42504349064956753,0.06358769219431162,0.4739432838413049,-2.0920078607384935,12.0,-0.2889735934134376,3.7650403558158527,9.907992139261506,3.476582302415701,-1.0704222138497663,Negative Reinforcement,2,2,17.74390332959308,0.05476280721060114,Good Visuals,0,0.5952093397745571
9,5.341885410533594,0.09323348867806021,0.4690255262276419,0.3732590385968181,0.3896018137134884,0.06523478751438955,0.4437402454181689,0.7686737322991125,11.231326267700888,0.116822497112451,3.236530118335626,11.993954892931448,3.353353076184054,-0.9709454036742738,Negative Reinforcement,2,3,16.51582176269026,0.045646816898725844,Good Visuals,0,0.5823520569223831
10,7.565905159156545,0.13204995592090732,0.6268451687625507,0.5432061382869209,0.0,0.5159609105921206,0.0,8.526775627424605,0.0,2.9200643186243154,0.0,8.526775627424605,2.9200643186243154,1.0,Manual Control,0,0,17.551539375156345,0.3701508338296288,Good Visuals,0,0.0
11,7.712949929364893,0.13461637130888146,0.5891268509998289,0.4852834196182388,0.0,0.4944486141495141,0.0,6.8179811207035215,0.0,2.6111264081937193,0.0,6.8179811207035215,2.6111264081937193,1.0,Manual Control,0,1,16.935076752197208,0.3475998788105992,Good Visuals,0,0.0
12,8.761066408881858,0.15290945482086418,0.7181265048919493,0.5271486772678999,0.0,0.5058485745209321,0.0,5.702518152005632,0.0,2.387994587934745,0.0,5.702518152005632,2.387994587934745,1.0,Manual Control,0,0,15.89835318418948,0.36634756126100787,Good Visuals,1,0.0
13,11.294551482486916,0.19712711090540333,0.7402393990350107,0.5030087602145771,0.0,0.420974780606192,0.0,2.44095091014354,0.0,1.562354284451366,0.0,2.44095091014354,1.562354284451366,1.0,Manual Control,0,1,14.907065129198545,0.32142021481128963,Good Visuals,1,0.0
14,3.9487770688315935,0.06891916127836206,0.3254945576858726,0.4207379061535257,0.6506666795777457,0.2876928916945612,0.7614999624434888,-54.70066062335602,12.0,-3.8500162304585155,9.029046392329096,-42.70066062335602,5.1790022541209355,-1.8585178914767022,Negative Reinforcement,2,2,226.9354405455116,0.22355981751431017,Good Visuals,1,0.8067972114004511
15,4.3498794143025465,0.07591971784430196,0.36465965685914187,0.404693095506837,0.6006877195083407,0.23575038976940893,0.7205308675292145,-26.18774273975351,12.0,-2.412668949273303,6.634096570028372,-14.18774273975351,4.22128618128191,-1.6286827935942336,Negative Reinforcement,2,3,252.6593355503315,0.1830352190109621,Good Visuals,1,0.7723335554302702
