,rms_angle_error,rms_angle_error_rad,rms_rate_error,rms_human_torque,rms_robot_torque,rms_human_power,rms_robot_power,human_angle_cost,robot_angle_cost,human_angle_gain,robot_angle_gain,system_angle_cost,system_angle_gain,authority,condition,condition_number,repetition,cost_variability,rms_estimated_human_torque,settings,participant,conflict
18,8.304952742204641,0.14494876957400282,0.5886158116043868,0.36879293432392446,0.23491074993507405,0.15697532830207736,0.23740389589782146,2.4053884961390986,2.6458973404283324,0.8531532233560402,0.983949244134402,5.0550359378363146,1.8370899727281294,-0.4008354088581279,Positive Reinforcement,1,0,220.04767970886454,0.11724760327204853,Good Visuals,1,0.49555884529977795
19,7.916901430243097,0.13817599651359022,0.621642175475836,0.4106081677328039,0.250928393179672,0.2013613135552554,0.2668484698771781,2.9873819740130996,3.2273819740131,0.958917636995151,1.0768334056620281,6.208679259385385,2.0357814157387057,-0.3400628176296945,Positive Reinforcement,1,1,209.68020806624963,0.1361927143537105,Good Visuals,1,0.4731755668442572
20,6.542294223447752,0.11418457483336887,0.5806703487683382,0.42327223116563983,0.26777199129324375,0.20633301756953099,0.28923158823745637,6.145565304349169,6.386426983026369,1.404000208794457,1.4869987314038888,12.533322986772571,2.8909825787620305,-0.2924444660779519,Positive Reinforcement,1,2,201.68979715173836,0.15592552833146314,Good Visuals,1,0.48836347922711276
21,7.286412081263311,0.1271718814751374,0.555712620101837,0.3722070517744922,0.24108933762283355,0.17886099582254147,0.25685931557025826,3.511165960332153,3.7511659603321537,1.0459545334483855,1.1549998520012004,7.262468296794529,2.2008711911605063,-0.35679287678678806,Positive Reinforcement,1,3,193.11005653443874,0.1326762066702382,Good Visuals,1,0.48778677880155835
22,4.916519039942252,0.08580944498398292,0.40870080762254685,0.6726397062775186,0.8254939161482323,0.31233651421313435,0.7941526043415301,-56.01516362321548,12.0,-3.904467177802795,9.124128464190306,-44.01516362321548,5.21958177158221,-1.9061574715170102,Negative Reinforcement,2,0,315.1915065264181,0.29865323046535036,Good Visuals,1,0.7951393227539673
23,4.582096787383118,0.07997267558488998,0.40436757293631514,0.48417860995747114,0.6444404614429469,0.2311034490362231,0.7042892799593985,-18.813678752621087,12.0,-1.9139962993250128,5.8716894222719525,-6.813678752621087,3.9576147603109635,-1.6538995443289892,Negative Reinforcement,2,1,312.7663383626526,0.19998407520410483,Good Visuals,1,0.7704116799298202
24,6.190725194708431,0.10804853773382916,0.6173270840894002,0.5185338870312682,0.28075063195392014,0.26440315005127424,0.3093383555245846,9.79597468092797,10.03597468092797,1.7851028437060181,1.8511260514248538,19.83180100643513,3.636280280335343,-0.25207725786306057,Positive Reinforcement,1,0,306.6620409473301,0.18155782336167442,Good Visuals,2,0.5233518176216883
25,7.55167923112843,0.131801666637665,0.6187265989759274,0.457361312841216,0.2575894681344088,0.2078874902585368,0.30140033243147113,4.858381198077429,5.098153915852619,1.2419492391836153,1.3350607144079083,9.958792813520137,2.5770526756756533,-0.3246314103035539,Positive Reinforcement,1,1,296.9266305599976,0.14716514414296508,Good Visuals,2,0.5052301255230126
28,6.756107023873308,0.11791631218370437,0.6282964770592534,0.4701935320118138,0.28576041454832907,0.26471374596127295,0.31796360835477727,8.337674081314965,8.577674081314965,1.6434312544481184,1.714918038512129,16.91582525734553,3.3583620860940844,-0.26290427752960677,Positive Reinforcement,1,2,285.2961496134305,0.1804688165910693,Good Visuals,2,0.5136625565400582
29,5.851692552992411,0.10213130186415031,0.5746699603808922,0.4745368891469306,0.27602547471897515,0.256304245301314,0.3123833574515824,10.353404317066756,10.593221943264588,1.8362616954997264,1.9004263464318276,20.94552248907013,3.7366442300519607,-0.21365500664608644,Positive Reinforcement,1,3,279.84132633849396,0.1826355589810397,Good Visuals,2,0.5203968449593296
