,time,steering_angle,steering_rate,angle_error,rate_error,acceleration,reference_angle,reference_rate,measured_input,execution_time,repetition,condition,human_noise,setting,torque,estimated_human_gain_pos,estimated_human_gain_vel,robot_gain_pos,robot_gain_vel,state_estimate_pos,state_estimate_vel,estimated_human_input,input_estimation_error,robot_cost_pos,robot_cost_vel,estimated_human_cost_1,estimated_human_cost_2
0,0.006007600000000224,0.35264377536545427,-2.384623533600806,0.032374301113940906,0.28578306474598314,-8.730924244748996,0.30350512689648157,-2.723233817622118,0,0.006226700000000001,0,Shared Control,0.01,Good Visuals,-0.6979124776187894,0.0,0.0,7.071067811865475,1.3926477119494785,0.3533365087318462,-2.276298118749131,0.0,[0.3607765],50.0,2.0,0.0,0.0
1,0.009531800000000423,0.3452610326295183,-2.4517461564867933,0.041755905733036724,0.27148766113532474,-8.722648984248634,0.29385600064841644,-2.7526469734515953,0,0.0035242000000000003,0,Shared Control,0.01,Good Visuals,-0.6269160097708313,0.001706403771305406,0.0007531611226779003,7.071067811865475,1.3926477119494785,0.3451907963509648,-2.2779658825194793,0.0,[0.49217127],50.0,2.0,0.02413510537647775,0.0023632020728077572
2,0.012849300000000063,0.3352079361380309,-2.462664485619952,0.041351935489614466,0.28998248783164327,-8.552769551878022,0.28467850454179544,-2.7800911034124587,0,0.0033175,0,Shared Control,0.01,Good Visuals,-0.672815251996864,0.003728754687603761,0.001410605034649286,7.067654798376833,1.391219486376325,0.3374077682073101,-2.2840973736204564,-0.00027572638667100545,0.4723988478346648,49.97586489462352,1.9976367979271923,0.052721005531146004,0.004364568277372579
3,0.016996900000000537,0.32248448589099227,-2.5115140801049405,0.03780598134919683,0.2685770233075182,-8.783370874608748,0.2730772295262354,-2.8140541490771014,0,0.0041476,0,Shared Control,0.01,Good Visuals,-0.6951570397252567,0.00646730072559809,0.0023708144949036083,7.0636111195564935,1.3899565156487712,0.32595291757393974,-2.29490038971013,-0.0005632419805938296,0.4435693077883491,49.94727899446885,1.9956354317226275,0.09140682061637621,0.00730988990508691
4,0.021053400000000444,0.31447342462433825,-2.5475956333780747,0.04139619509810283,0.2664585156990267,-8.955775639443175,0.2615953063349778,-2.8468797927658867,0,0.0040565,0,Shared Control,0.01,Good Visuals,-0.6396567750737447,0.008621839717212166,0.0031361162385918247,7.058137076404264,1.3881193998351027,0.3175983532820439,-2.299780651527408,-0.0008812489504671369,0.5281194347980338,49.90859317938362,1.992690110094913,0.12178258926984938,0.009653076924914824
5,0.024766099999999902,0.304106168867492,-2.5534661295692986,0.04251086253251418,0.293413663196588,-9.03534787336972,0.2509704755077733,-2.8765687652662626,0,0.0037127,0,Shared Control,0.01,Good Visuals,-0.6614888767011219,0.010855882250639529,0.0038551191035348757,7.053834655501025,1.3866584828145996,0.309685034365046,-2.3064202620708674,-0.0011925562370330787,0.5284853643207875,49.87821741073015,1.9903469230750852,0.1532690470506389,0.011829492687613562
6,0.028196499999999958,0.2962521872335175,-2.5755615604621704,0.04528171172574419,0.30100720480409215,-9.260753024559111,0.24105609332252123,-2.903686907248025,0,0.0034304,0,Shared Control,0.01,Good Visuals,-0.7061350082941295,0.013088652460893779,0.004625657793458947,7.049374199207675,1.3852798344262187,0.30124170424058,-2.31607016934754,-0.001592637536253412,0.4874961297139821,49.84673095294936,1.9881705073123865,0.18470493074368335,0.014177811530115244
7,0.03310580000000041,0.2777167905773377,-2.609378743273507,0.03666069725481649,0.294308163974518,-9.513482598036132,0.22670683094190006,-2.941950835536841,0,0.0049093,0,Shared Control,0.01,Good Visuals,-0.7415445551810618,0.017621709123216086,0.006167088027144997,7.040346336388391,1.3823518553268146,0.2846325567947148,-2.33902289925387,-0.0023533118941026624,0.48376502776248226,49.78304965742714,1.9835137556390847,0.2484363951654958,0.018856950044397466
8,0.03862800000000011,0.2668782959224529,-2.6349386886021984,0.04017146498055282,0.3070121469346425,-9.643538533156693,0.21034376358589651,-2.9841899876267175,0,0.0055222000000000005,0,Shared Control,0.01,Good Visuals,-0.6643403683566138,0.019763514483086855,0.007026797266542417,7.035879132974057,1.3808659877214904,0.2764544182512867,-2.345300157733914,-0.002461048497616939,0.5701524840961134,49.7515636048345,1.9811430499556026,0.2784979947962859,0.021505315800889765
9,0.042232600000000176,0.2585530753904399,-2.6728650378151815,0.04820931180454341,0.311324949811536,-9.815158202969732,0.19953800546830536,-3.0112837657850795,0,0.0036046000000000003,0,Shared Control,0.01,Good Visuals,-0.7059132076385883,0.022098790486223093,0.007919169625572502,7.031611713208917,1.3792387961597976,0.2678186168437515,-2.3548543772044788,-0.0029512414448256367,0.5434436154804682,49.72150200520372,1.9784946841991102,0.31126858460230616,0.02423682939199559
