,time,steering_angle,steering_rate,angle_error,rate_error,acceleration,reference_angle,reference_rate,measured_input,execution_time,condition,human_noise,role,torque,estimated_human_gain_pos,estimated_human_gain_vel,robot_gain_pos,robot_gain_vel,state_estimate_pos,state_estimate_vel,estimated_human_input,input_estimation_error,robot_cost_pos,robot_cost_vel,estimated_human_cost_1,estimated_human_cost_2
0,0.002634400000000703,-0.047280969436526384,1.7730179294043704,0.03146371806451904,0.026695589011566323,5.2507563057874815,-0.07156406966569476,1.7624017886593293,0,0.0040969000000000005,0,0.010000000000000002,,-0.207977766741129,0.0,0.0,5.477225575051656,1.000136919889229,-0.047931613685265974,1.7022073984651187,0.0,[-1.13388688],30.0,1.0,0.0,0.0
1,0.006863200000000624,-0.03989822670059037,1.793022994254971,0.031665842965104385,0.030621205595641632,5.200481641969777,-0.06407657496931263,1.7787798689158383,0,0.0042288000000000004,0,0.010000000000000002,,-0.19903312543785515,-0.0028390978502347134,0.0,5.477225575051656,1.000136919889229,-0.041097524202809446,1.6446216691514992,0.0,[-1.12719261],30.0,1.0,-0.031092698234156287,0.00031119212369735185
2,0.010931100000000527,-0.032515483964654354,1.8106538174597528,0.03156109100465827,0.031873948543914565,5.136727606478649,-0.056808725944313646,1.7944790039942098,0,0.0040679,0,0.010000000000000002,,-0.20424980828310718,-0.0058244515016770484,0.0,5.482903035315812,1.0002565600572568,-0.0342407986790029,1.5883375039256693,8.990242668809788e-05,-1.1372349593188111,30.031092698234158,0.9996888078763027,-0.06383588139989427,0.0006384152740735111
3,0.015066800000000491,-0.025132741228718343,1.8229680923208487,0.0316759847155953,0.02848908832663888,5.062577427623819,-0.04935439691363933,1.810379905028989,0,0.0041357,0,0.010000000000000002,,-0.20512110119481805,-0.008609031681098445,0.0,5.488877415465752,1.0003825389866146,-0.02804980920737984,1.5391553763985373,0.00018382604389664787,-1.1416109563770682,30.063835881399893,0.9993615847259265,-0.09443372370033466,0.0009436317425964467
4,0.01884219999999992,-0.01743583922742335,1.8440011629271966,0.03191855768621599,0.03362125789820758,5.028120310451596,-0.04249217653346336,1.8248390374946326,0,0.0037754000000000004,0,0.010000000000000002,,-0.20254561800089899,-0.011496576236747758,0.0,5.4944551687074314,1.0005002522227635,-0.021805935244957414,1.491394843957969,0.0002726995559465501,-1.1405970032160668,30.094433723700334,0.9990563682574035,-0.12620267418770814,0.0012601340859267228
5,0.02286730000000059,-0.009896016858807848,1.871129418019441,0.03259615967465551,0.046290380524808494,5.007274470790315,-0.035116098212804994,1.840190599275396,0,0.0040251,0,0.010000000000000002,,-0.2092020020820743,-0.014438627113846393,0.0,5.500242776003397,1.0006224588584072,-0.01570616031232921,1.4462558943173798,0.0003669541318066132,-1.1532377272229404,30.12620267418771,0.9987398659140733,-0.15862343500374812,0.0015826108404331908
6,0.02688820000000014,-0.0021991148575128553,1.8902778243693823,0.03291698335529214,0.05008722509398633,4.9581033244580786,-0.02768616246339565,1.8554551717097967,0,0.0040209,0,0.010000000000000002,,-0.22580412774642095,-0.01754425505375859,0.0,5.506144364765549,1.0007471598984035,-0.009668188251363653,1.402547765002803,0.0004706437948857475,-1.1777285515736322,30.158623435003747,0.9984173891595668,-0.1928946013111334,0.0019230171966125704
7,0.031209500000000112,0.007225663103256524,1.9006035463589384,0.03491182556665217,0.045148374649141676,4.892939517435554,-0.019632890569811656,1.8717744009592765,0,0.0043213,0,0.010000000000000002,,-0.23158211835583392,-0.021414646466087827,0.0,5.5123784110767104,1.000878963773321,-0.002431994958731516,1.3520610130069082,0.0005775039515855715,-1.188040618663977,30.192894601311135,0.9980769828033874,-0.23563268263773787,0.0023472489021323906
8,0.035715600000000514,0.015079644737231005,1.9096113230650023,0.03471253530704266,0.03783692210572576,4.83250308779179,-0.01116033848159967,1.8886884438321858,0,0.0045061,0,0.010000000000000002,,-0.23791399478309458,-0.0247606646582614,0.0,5.520150071063361,1.0010433100108773,0.003293298356033751,1.3136269271064271,0.0007476244019955826,-1.196349754523865,30.23563268263774,0.9976527510978677,-0.27275207903143656,0.0027140043160278245
9,0.039807200000000265,0.022776546738526,1.9208099967688632,0.03393688522012567,0.0321215529366774,4.7769194812818165,-0.0034013307366808554,1.903947226628168,0,0.0040916,0,0.010000000000000002,,-0.22973396630008355,-0.028066796782457052,0.0,5.526884360972775,1.0011860287161585,0.008927784984054084,1.2780502464380679,0.0008595054461757421,-1.1899447328697053,30.272752079031438,0.9972859956839721,-0.309456135317498,0.0030763878375635214
10,0.04391520000000071,0.03047344873982099,1.9251991525011602,0.033874779476501846,0.021251925872992183,4.691895036649738,0.004451375822539868,1.9191635551572035,0,0.0041080000000000005,0,0.010000000000000002,,-0.21995532111323263,-0.03136647033006999,0.0,5.5335407891285335,1.0013271324428372,0.014636613203571817,1.2444437588107546,0.0009524996609028373,-1.1826993207603294,30.309456135317497,0.9969236121624365,-0.3461514305038973,0.0034380634376858475
11,0.04839839999999995,0.040369465598628834,1.926397054372834,0.035918089776088964,0.0072334992156304345,4.593342022060293,0.013092357554477307,1.9356407572917864,0,0.0044832000000000006,0,0.010000000000000002,,-0.20895583782043234,-0.03524537761066643,0.0,5.54018987337767,1.001468183590013,0.021342439987244645,1.2076649918462432,0.0010625322653873592,-1.1706630280008405,30.346151430503898,0.9965619365623142,-0.389289931601054,0.003863228563352134
