,time,steering_angle,steering_rate,angle_error,rate_error,acceleration,reference_angle,reference_rate,measured_input,execution_time,repetition,condition,human_noise,setting,robot_gain_pos,robot_gain_vel,torque
0,0.0010885000000000061,-0.013037609512397642,0.00018560504727750711,-0.009179858728735573,0.09352276198369784,36.30338666579593,-0.004047926703776071,-0.08798853625715591,0,0.0045334,0,Linear Quadratic,0.005,Good Visuals,3.5938136638046285,0.43706154503394756,0.024590308660702415
1,0.005220699999999995,-0.013037609512397642,8.275908938866201e-05,-0.008989682808621571,0.08807129534654458,35.35910042958825,-0.0041801920726877596,-0.0831248625875644,0,0.0041322,0,Linear Quadratic,0.005,Good Visuals,3.5938136638046285,0.43706154503394756,0.02606924176837539
2,0.009440600000000007,-0.013037609512397642,1.7973965448323906e-05,-0.008857417439709882,0.08314283655301272,33.5297088545265,-0.0042749443596104345,-0.07817215218580863,0,0.0042199,0,Linear Quadratic,0.005,Good Visuals,3.5938136638046285,0.43706154503394756,0.027741746410198817
3,0.013654899999999998,-0.013037609512397642,-1.361919229586493e-05,-0.008762665152787208,0.07815853299351276,31.079545638139233,-0.004329036622293206,-0.0732430459117755,0,0.004214300000000001,0,Linear Quadratic,0.005,Good Visuals,3.5938136638046285,0.43706154503394756,0.029403652230629268
4,0.018095399999999998,-0.013037609512397642,-2.2986152915709032e-05,-0.008708572890104436,0.07322005975885978,28.230510391090927,-0.004342364886416586,-0.06807080324158758,0,0.0044405,0,Linear Quadratic,0.005,Good Visuals,3.5938136638046285,0.43706154503394756,0.031233386391617823
5,0.022102200000000002,-0.013037609512397642,-2.0650700266543778e-05,-0.008695244625981056,0.06805015254132103,25.165056728931354,-0.00431608705373116,-0.06342521151932198,0,0.0040068000000000005,0,Linear Quadratic,0.005,Good Visuals,3.5938136638046285,0.43706154503394756,0.033194977039505795
6,0.026473999999999998,-0.013037609512397642,-1.411462711076702e-05,-0.008721522458666482,0.06341109689221122,22.029715073651413,-0.004246146411489964,-0.05838253070985139,0,0.0043718,0,Linear Quadratic,0.005,Good Visuals,3.5938136638046285,0.43706154503394756,0.03540725089315053
7,0.03254119999999999,-0.013037609512397642,-7.608101516393137e-06,-0.008791463100907677,0.058374922608334996,18.938914850316106,-0.004078120940199814,-0.05143495672855857,0,0.0060672,0,Linear Quadratic,0.005,Good Visuals,3.5938136638046285,0.43706154503394756,0.03753093597115581
8,0.036370700000000006,-0.013037609512397642,-2.8693710667251956e-06,-0.008959488572197829,0.05143208735749184,15.9789164608117,-0.003929858188594843,-0.04708337289379237,0,0.0038295000000000004,0,Linear Quadratic,0.005,Good Visuals,3.5938136638046285,0.43706154503394756,0.03998509467399369
9,0.041047799999999995,-0.012880529879718152,0.002643206303710408,-0.008950671691123308,0.04972657919750278,13.288153809601255,-0.003704765738366062,-0.04180738610565711,0,0.0046771,0,Linear Quadratic,0.005,Good Visuals,3.5938136638046285,0.43706154503394756,0.04362462182571013
10,0.04504820000000001,-0.012880529879718152,0.008309008355152995,-0.009175764141352091,0.05011639446081011,10.888469786499146,-0.0034740761317384006,-0.03733115955121394,0,0.0040004,0,Linear Quadratic,0.005,Good Visuals,3.5938136638046285,0.43706154503394756,0.04505994009203944
11,0.049604800000000004,-0.012880529879718152,0.011049260061541211,-0.009406453747979751,0.048380419612755146,8.634592092733117,-0.003168746178475438,-0.032276548176193284,0,0.0045566,0,Linear Quadratic,0.005,Good Visuals,3.5938136638046285,0.43706154503394756,0.04716678703770583
12,0.053921600000000014,-0.012880529879718152,0.00919911689023269,-0.009711783701242715,0.04147566506642597,6.5622331989266645,-0.002837972741289392,-0.027534065458491366,0,0.0043168,0,Linear Quadratic,0.005,Good Visuals,3.5938136638046285,0.43706154503394756,0.04946406336702571
13,0.058110999999999996,-0.012723450247038663,0.008346341141852351,-0.00988547750574927,0.035880406600343716,4.8321792534130985,-0.002478645535381722,-0.022977192795862883,0,0.0041894,0,Linear Quadratic,0.005,Good Visuals,3.5938136638046285,0.43706154503394756,0.05310019377690405
14,0.062445,-0.012723450247038663,0.010528459253153162,-0.010244804711656941,0.033505652049016045,3.421609961472332,-0.0020675238859034204,-0.01831312751617954,0,0.004334,0,Linear Quadratic,0.005,Good Visuals,3.5938136638046285,0.43706154503394756,0.05598460113876851
15,0.0667431,-0.012723450247038663,0.010981522793442756,-0.010655926361135243,0.029294650309622295,2.1777335573247663,-0.001620587365109056,-0.013740765696050391,0,0.0042981,0,Linear Quadratic,0.005,Good Visuals,3.5938136638046285,0.43706154503394756,0.05887889364533077
16,0.0709959,-0.012566370614359171,0.01083252837384606,-0.010945783249250116,0.024573294069896452,1.1728036749245607,-0.001140273724686198,-0.00927130674611065,0,0.0042528,0,Linear Quadratic,0.005,Good Visuals,3.5938136638046285,0.43706154503394756,0.06231412374631403
17,0.0751195,-0.012566370614359171,0.013102232041724834,-0.011426096889672974,0.022373538787835483,0.44795594081990076,-0.0006387207874556954,-0.004992094171433355,0,0.0041236,0,Linear Quadratic,0.005,Good Visuals,3.5938136638046285,0.43706154503394756,0.06541633884149868
18,0.07965720000000001,-0.012409290981679682,0.01544767913474524,-0.011770570194223987,0.020439773306178594,-0.1258522476400301,-4.644813119485189e-05,-0.0003479935332890158,0,0.0045377,0,Linear Quadratic,0.005,Good Visuals,3.5938136638046285,0.43706154503394756,0.06869116409415989
