,time,steering_angle,steering_rate,angle_error,rate_error,acceleration,reference_angle,reference_rate,measured_input,execution_time,repetition,condition,human_noise,setting,torque,estimated_human_gain_pos,estimated_human_gain_vel,robot_gain_pos,robot_gain_vel,state_estimate_pos,state_estimate_vel,input_estimation_error,state_estimate_derivative,estimated_human_input,robot_cost_pos,robot_cost_vel,estimated_human_cost_1,estimated_human_cost_2
0,0.0027924000000005833,0.22933626371205487,-0.12128358411495785,-0.03510149090799805,-0.7518709329616661,5.89600716451275,0.2686480205409448,0.6533573613475239,0,0.0065577000000000005,3,Manual Control,0.04,Bad Visuals,0,0.0,0.0,0,0,0.2294527649633086,-0.12791016132717606,-0.24899013894385913,1.058618347766638,0.0,0,0,0.0,0.0
1,0.006274000000000335,0.22870794518133694,-0.1287919485157913,-0.039940075359607835,-0.7821493098633152,5.125968571568749,0.27094332849672437,0.6651435636601979,0,0.0034816,3,Manual Control,0.04,Bad Visuals,0,0.0007087208436131528,0.0,0,0,0.22881856110126667,-0.12391631631683787,-0.23188455101032043,0.7644471936712899,1.4553899599122326e-05,0,0,5.02285234171739e-07,-6.96648605135422e-05
2,0.011286400000000363,0.22839378591597795,-0.11750729109560225,-0.04254954258074642,-0.7826508547558001,4.412980697606424,0.27431906569785225,0.6817365195108558,0,0.0050124,3,Manual Control,0.04,Bad Visuals,0,0.0013425792843598917,0.0,0,0,0.2282044282895444,-0.12041590472637297,-0.187725140965947,0.6850751867595951,4.4866646907001946e-05,0,0,1.8025191347923191e-06,-0.00013197100017049278
3,0.016278100000000073,0.22807962665061898,-0.06365480291573515,-0.046239439047233266,-0.7453913224265909,4.679562982862511,0.2777624038722093,0.6978139975371391,0,0.0049917,3,Manual Control,0.04,Bad Visuals,0,0.0020159866695277718,0.0,0,0,0.22761056530569304,-0.11604917348157519,-0.2032047828936868,0.9666490639408437,7.627309445298698e-05,0,0,4.0642022517136776e-06,-0.00019816466722470514
4,0.021038700000000077,0.22776546738526,-0.07850694882677142,-0.049996936486949306,-0.7763209463639106,3.302661662478023,0.2811200749697907,0.712725214218058,0,0.0047606,3,Manual Control,0.04,Bad Visuals,0,0.0026769692932647375,0.0,0,0,0.227111194721295,-0.11110769238416386,-0.17209841540057652,1.0632071409039876,0.00012032593514600231,0,0,7.166164597082308e-06,-0.00026313702227744474
5,0.02575459999999996,0.2276083877525805,-0.054197057471252495,-0.053511687217210196,-0.7669222716893105,3.87728359124782,0.28451523660179684,0.727084570921466,0,0.0047159,3,Manual Control,0.04,Bad Visuals,0,0.003259744155751316,0.0,0,0,0.22659126155893752,-0.10634480097259853,-0.15188530466948655,0.9685140430534361,0.00015750837801296888,0,0,1.0625931960954861e-05,-0.0003204218190656237
6,0.030900100000000208,0.227451308119901,-0.03212090552176862,-0.05706392848189584,-0.7592054764432346,3.9918615112728624,0.28829575304537314,0.7422782162143258,0,0.0051455,3,Manual Control,0.04,Bad Visuals,0,0.004048920875210996,0.0,0,0,0.22610422416218137,-0.10075079876424428,-0.18524098554156507,1.1457789058352779,0.0002067464607953908,0,0,1.6393760253719378e-05,-0.0003979952199005827
7,0.03669180000000072,0.227451308119901,-0.011812796443127537,-0.06084444492547214,-0.7540910126574533,4.1320265303614985,0.29264290292545075,0.7587807671353004,0,0.0057917,3,Manual Control,0.04,Bad Visuals,0,0.0049902323518109136,0.0,0,0,0.2256328163638209,-0.09440092689667759,-0.1909401734646289,1.1899730895315472,0.0002771117419453672,0,0,2.490241892506028e-05,-0.00049052295251645
8,0.041158600000000156,0.227451308119901,0.0006955147376855411,-0.06519159480554976,-0.7580852523976148,3.909610329879429,0.29605981383148355,0.7710696465852036,0,0.0044668,3,Manual Control,0.04,Bad Visuals,0,0.00598415129340212,0.0,0,0,0.22524432121080787,-0.08812084299824406,-0.1990419511166451,1.2640687369641965,0.00035892034244667636,0,0,3.581006670232627e-05,-0.0005882218209097062
9,0.04632650000000016,0.227451308119901,0.0016154703640917768,-0.06860850571158256,-0.7694541762211118,3.3509789491976743,0.30008034137319983,0.7848056424980111,0,0.0051679000000000004,3,Manual Control,0.04,Bad Visuals,0,0.006963448678389771,0.0,0,0,0.22490336518880025,-0.08192502056360096,-0.17990890673452442,1.2199475456861046,0.0004467151335586956,0,0,4.848961749656825e-05,-0.0006844834397702909
10,0.05286340000000056,0.2276083877525805,0.016605719015814112,-0.07247195362061934,-0.768199923482197,3.122118122374818,0.3052653387782839,0.8014325108525827,0,0.0065369,3,Manual Control,0.04,Bad Visuals,0,0.007851441955828663,0.0,0,0,0.22460859775506892,-0.07603544844364123,-0.15807274817004166,1.1737288733889186,0.0005384001039197401,0,0,6.164514078574662e-05,-0.0007717701738451112
11,0.05626560000000058,0.22776546738526,0.019639652413562643,-0.07749987139302389,-0.78179285843902,2.427206096284282,0.3080061910306543,0.8097527560255451,0,0.0034022,3,Manual Control,0.04,Bad Visuals,0,0.008723319452536233,0.0,0,0,0.22435875762501684,-0.07000480727085535,-0.14078114568376152,1.1958250296388595,0.0006471214100681283,0,0,7.609630227099704e-05,-0.0008574727812121707
12,0.06133580000000016,0.22823670628329845,0.061178264721249306,-0.07976948474735585,-0.7485744913042958,3.1360373212432235,0.31214236768148873,0.8217253721450533,0,0.0050702,3,Manual Control,0.04,Bad Visuals,0,0.00952881139643262,0.0,0,0,0.2241601010974941,-0.06404193986464368,-0.1418621982783428,1.2390304804426977,0.0007302884169855999,0,0,9.079824662878416e-05,-0.0009366499133961836
