,time,steering_angle,steering_rate,angle_error,rate_error,acceleration,reference_angle,reference_rate,measured_input,execution_time,repetition,condition,human_noise,setting,torque,estimated_human_gain_pos,estimated_human_gain_vel,robot_gain_pos,robot_gain_vel,state_estimate_pos,state_estimate_vel,estimated_human_input,input_estimation_error,robot_cost_pos,robot_cost_vel,estimated_human_cost_1,estimated_human_cost_2
0,0.0015602000000001226,0.3879866927183394,-2.1836569057213997,0.06286093659282077,0.47120609056103513,-8.174603104162447,0.3155332367092079,-2.6857528528257313,0,0.0036032000000000004,0,Shared Control,0.05,Bad Visuals,-1.1008929261551916,0.0,0.0,7.071067811865475,1.3926477119494785,0.38977771758902396,-2.1875774029395223,0.0,[-0.04509253],50.0,2.0,0.0,0.0
1,0.005348800000000153,0.3790331536556085,-2.2245832407375157,0.06349991694640061,0.4611696120882156,-8.388815381954418,0.3052973732123428,-2.7177067665061285,0,0.0037886,0,Shared Control,0.05,Bad Visuals,-1.1007180292416958,-0.00027323677199099364,-0.0001024092529525701,7.071067811865475,1.3926477119494785,0.37987574809725716,-2.2273422309401005,0.0,[-0.03221916],50.0,2.0,-0.003864076828553514,-0.00031672573908722107
2,0.009480200000000494,0.36976545532751864,-2.2712906801989305,0.06446808211517585,0.446416086307198,-8.72328748236905,0.29399802617053095,-2.7522182152265806,0,0.0041314,0,Shared Control,0.05,Bad Visuals,-1.0913193136075565,-0.00029518910161064493,-0.00011038071797328229,7.071341053916608,1.3927408206187648,0.3721545338877068,-2.2564621687723085,6.45785477865114e-05,-0.003334263383797522,50.0,2.0,-0.00417467848917052,-0.00034132417761029605
3,0.013051400000000157,0.3625397922242621,-2.310396398102222,0.06854176605373113,0.4418218171243584,-9.061993250214549,0.28411647996631867,-2.7817551117324197,0,0.0035712,0,Shared Control,0.05,Bad Visuals,-1.077622362802775,-4.2705843487064515e-05,-2.2963360226970354e-05,7.07136300712858,1.3927480905451588,0.364034600338666,-2.285435772608638,6.830600336355132e-05,0.03658518207464468,50.0,2.0,-0.0006039752198562342,-7.3060874466398e-05
4,0.01667630000000031,0.35327209389617226,-2.338743916967877,0.06915561392985359,0.44301119476454254,-9.351546538934713,0.2739789967954448,-2.811443073054038,0,0.0036249000000000003,0,Shared Control,0.05,Bad Visuals,-1.0999775040700799,0.00027310163035519863,7.882175561397645e-05,7.0711105178379325,1.3926679882427915,0.35612260432405757,-2.3144400269034637,1.3072847476178894e-05,0.044595940389487075,50.0,2.0,0.003862338206187167,0.000236909802044428
5,0.02145850000000049,0.33630749356678735,-2.371740100183439,0.062328496771342556,0.43970297287059923,-9.831518974620716,0.2604413756590039,-2.850135952929694,0,0.0047822,0,Shared Control,0.05,Bad Visuals,-1.1465417894557566,0.0010443975840182683,0.00032496665812948986,7.070333342840001,1.3924374999631965,0.33974741857267904,-2.374004013486561,-0.00015660177949446572,0.04260300161828733,50.0,2.0,0.01476956888924531,0.0009856012129988226
6,0.026856900000000294,0.3213849284622358,-2.5030676320050214,0.06094355280323194,0.34706832092467277,-10.650980591606196,0.2449388089615528,-2.893133582290109,0,0.0053984,0,Shared Control,0.05,Bad Visuals,-1.063387552805613,0.00286591753627753,0.0009181184633581807,7.069237982044611,1.3920931897289799,0.3253370278102139,-2.4154889485744646,-0.0003760593857754512,0.17090948530984215,50.0,2.0,0.040527919685046404,0.002793795123600335
7,0.03288730000000051,0.31368802646094085,-2.5307671252976127,0.06874921749938806,0.3623664569924965,-10.740507881056594,0.2273494626988405,-2.9402618217500396,0,0.0060304,0,Shared Control,0.05,Bad Visuals,-0.9138109874567595,0.004833840939194341,0.0014784762368571396,7.068202475110135,1.3917997914761884,0.3178077728590491,-2.4298119308078108,-0.0004933090301895025,0.34983229592835263,50.0,2.0,0.06835649899962971,0.004474922534521236
8,0.03639060000000072,0.3059911244596459,-2.507072100989074,0.07864166176080539,0.4331897207609656,-10.618551211847599,0.21700158937887964,-2.9671810681612745,0,0.0035033000000000004,0,Shared Control,0.05,Bad Visuals,-0.9899497295325674,0.007038803267740498,0.0020595769503338477,7.066235623153071,1.3912754617487468,0.3087908334168833,-2.451955673933167,-0.0008680729777836387,0.29199596107449843,50.0,2.0,0.09952522954119025,0.006199345996678575
9,0.0400911000000006,0.2959380279681585,-2.4486303313631526,0.07893643858927885,0.5185507367981219,-10.333474192421559,0.20596950849847862,-2.9952337239730507,0,0.0037005000000000002,0,Shared Control,0.05,Bad Visuals,-1.1579757342584274,0.008192762858032582,0.002377400494175342,7.06403251193983,1.3907266260354183,0.29922671543017015,-2.4852153143468927,-0.0014457307497833406,0.12654163964389842,50.0,2.0,0.11581500774675843,0.0071467159446671905
10,0.04355950000000064,0.28557077221131216,-2.4605251327635447,0.07960126371283355,0.534708591209506,-10.389051937841836,0.1955357751380735,-3.0211594239482986,0,0.0034684000000000004,0,Shared Control,0.05,Bad Visuals,-1.2785261575876583,0.00818780725599417,0.0023757727724702453,7.062879795202958,1.3904282246750692,0.290617961825075,-2.5189943846126552,-0.0018795103001384564,-0.0006105128867053359,50.0,2.0,0.11572603705841611,0.007140329456426656
11,0.0470202000000004,0.2777167905773377,-2.5333000545037496,0.08218101543926423,0.487859369444549,-10.57844002547712,0.18503621283414437,-3.046662482877163,0,0.0034607,0,Shared Control,0.05,Bad Visuals,-1.3056892689372048,0.00806241323522531,0.002333657071623273,7.062884745065018,1.3904297218980568,0.28147358195812433,-2.554536772822126,-0.001922105916815711,-0.014696528120863403,50.0,2.0,0.11395279340214182,0.007011495341821748
