,time,steering_angle,steering_rate,angle_error,rate_error,acceleration,reference_angle,reference_rate,measured_input,execution_time,repetition,condition,human_noise,torque,estimated_human_gain_pos,estimated_human_gain_vel,robot_gain_pos,robot_gain_vel,state_estimate_pos,state_estimate_vel,estimated_human_input,input_estimation_error,robot_cost_pos,robot_cost_vel,estimated_human_cost_1,estimated_human_cost_2
0,0.004289900000000735,0.028745572780346604,-2.322987846390983,-0.04852926842123864,-0.5733936935866386,5.211619920260714,0.06864109936818047,-1.7688203282882256,0,0.0049115,1,Manual Control,0.01,0,0.0,0.0,0,0,0.027831157066547516,-2.2593095694530643,0.0,[0.370774],0,0,0.0,0.0
1,0.009322100000000333,0.016964600329384884,-2.2894195214730373,-0.051676499038795586,-0.5205991931848117,5.609494425252189,0.05969105371315153,-1.7882761991251526,0,0.0050322000000000006,1,Manual Control,0.01,0,-0.0017378639059288754,0.0,0,0,0.01669517764122965,-2.1970368547011137,-4.463374039637944e-05,0.3621708418067613,0,0,3.0201709555303672e-06,0.00019048641086402568
2,0.014399100000000331,0.005497787143782138,-2.2953255567152895,-0.054193266569369396,-0.5070493575901369,5.9328626219882095,0.0505623320446325,-1.8078170025170888,0,0.005077,1,Manual Control,0.01,0,-0.0035541496741171913,0.0,0,0,0.0057474928284102205,-2.1373189205809755,-0.00013530967199320675,0.3574067800974266,0,0,1.2631979906027336e-05,0.00038956860360953846
3,0.020225800000000405,-0.008482300164692442,-2.282370778131471,-0.059044632209324946,-0.4745537756143823,6.69281135386125,0.039963672398601074,-1.8301237074944787,0,0.005826700000000001,1,Manual Control,0.01,0,-0.005804754280784904,0.0,0,0,-0.007037000144427152,-2.070439249284805,-0.00026775867897184895,0.3396480958523332,0,0,3.369517226029066e-05,0.0006362562713466923
4,0.025353800000000426,-0.020420352248333655,-2.297682568374447,-0.06038402464693473,-0.46755886087996834,7.527695020572655,0.03052871200033693,-1.849638845495413,0,0.005128000000000001,1,Manual Control,0.01,0,-0.007609780289151624,0.0,0,0,-0.017528042879342294,-2.017767807068028,-0.0003778312203456819,0.30223854981162274,0,0,5.790875604916057e-05,0.0008341042873374606
5,0.030542000000000513,-0.032358404331974865,-2.3394979125550392,-0.0628871163323118,-0.48985906705962634,8.178458919179914,0.020881460833106588,-1.8692597142498484,0,0.0051882000000000005,1,Manual Control,0.01,0,-0.009262842191451352,0.0,0,0,-0.027568813922569376,-1.9704956520453938,-0.0004954704065524805,0.27713293001377637,0,0,8.580024546373128e-05,0.0010152955921518786
6,0.036440999999999946,-0.046809730538487915,-2.3908221575872255,-0.0676911913715945,-0.5215624433373771,8.701573262800071,0.009789299925296438,-1.8914008168165537,0,0.005899000000000001,1,Manual Control,0.01,0,-0.011066053826828973,0.0,0,0,-0.03878494519063844,-1.9219737888638522,-0.0006155401501559509,0.25656711093797135,0,0,0.00012245754729827614,0.0012129447356086797
7,0.04099990000000009,-0.058747782622129124,-2.5217969020810878,-0.06853708254742556,-0.6303960852645341,8.60652332198894,0.001127850812218105,-1.9083761484212847,0,0.0045589,1,Manual Control,0.01,0,-0.012779306469114843,0.0,0,0,-0.048702091958915096,-1.884743142699651,-0.0007616480485236933,0.26944640382795215,0,0,0.0001633106738315605,0.0014007335179287267
8,0.04599190000000064,-0.07099999397112931,-2.337736339856873,-0.07212784478334741,-0.42936019143558823,9.64490964438449,-0.00844485119075435,-1.9268135086739961,0,0.004992,1,Manual Control,0.01,0,-0.014514220981331545,0.0,0,0,-0.058531379037563336,-1.851552711155029,-0.0008890822782138674,0.24449408295374256,0,0,0.00021066261069492483,0.0015908966471936926
9,0.05126180000000069,-0.08340928495280901,-2.4030668330157763,-0.07496443376205467,-0.47625332434178014,9.148576237937347,-0.018649844410346485,-1.9460887898251902,0,0.0052699,1,Manual Control,0.01,0,-0.016211022321928597,0.0,0,0,-0.06907053933558883,-1.8121779136885547,-0.0010801760258164492,0.23158626935902557,0,0,0.00026279724472206726,0.0017768822103997148
10,0.056536100000000644,-0.09801769079200154,-2.3790948682689192,-0.07936784638165506,-0.43300607844372907,9.057905619986899,-0.028964508479911204,-1.9651657692854287,0,0.0052743,1,Manual Control,0.01,0,-0.018233686379629466,0.0,0,0,-0.07976966092353235,-1.7761984178069623,-0.0012537649756270688,0.242801257080674,0,0,0.0003324673189906851,0.0019985854262963417
11,0.06206280000000053,-0.1105840614063607,-2.4402874127146488,-0.0816195529264495,-0.47512164342922003,7.844421472575089,-0.03988005126529571,-1.9849008461344777,0,0.005526700000000001,1,Manual Control,0.01,0,-0.020500107488678698,0.0,0,0,-0.09014780957487355,-1.7437149018083475,-0.0014449016198986257,0.29173278407392106,0,0,0.00042025440704738045,0.002247006733106613
12,0.06780070000000027,-0.12299335238804039,-2.5060357920506133,-0.08311330112274468,-0.5211349459161356,6.461711007252048,-0.05132727633872455,-2.005084543011234,0,0.005737900000000001,1,Manual Control,0.01,0,-0.02315045416086747,0.0,0,0,-0.09966171058014384,-1.7169583365039347,-0.0016732096081701147,0.32547467850753176,0,0,0.000535943527854426,0.002537509932700261
13,0.07277630000000013,-0.13555972300239957,-2.628192030528699,-0.08423244666367502,-0.6231074875174651,3.217923421027911,-0.06134673845496114,-2.0223091316163133,0,0.0049756,1,Manual Control,0.01,0,-0.026702688281015664,0.0,0,0,-0.10920414146610403,-1.6963485901685973,-0.001969878897223802,0.48245060261624456,0,0,0.0007130335614330913,0.002926868573378223
