,time,steering_angle,steering_rate,angle_error,rate_error,acceleration,reference_angle,reference_rate,measured_input,execution_time,repetition,condition,human_noise,setting,torque,measured_human_input,estimated_human_gain_pos,estimated_human_gain_vel,robot_gain_pos,robot_gain_vel,state_estimate_pos,state_estimate_vel,input_estimation_error,state_estimate_derivative,estimated_human_input,robot_cost_pos,robot_cost_vel,estimated_human_cost_1,estimated_human_cost_2
0,0.0024714000000001235,0.8375486014470389,1.1731237080923165,-0.054789456986050644,0.37920751280414366,1.9969285906138614,0.8982493837264931,0.7763060156717447,0,0.007414700000000001,0,Validation,0.005,Good Visuals,0.35901723159256954,0.33575503308006494,0.0,0.0,4.472135954999585,0.49347074931775814,0.8346232032669537,1.1636674068446409,-0.3357550330800648,0,0.0,20.0,0.1,0.0,0.0
1,0.011369500000000698,0.8466592201424492,1.1439173756061038,-0.05159016358404389,0.3676113599343591,1.5118036979252678,0.9051673795223214,0.7543454455873898,0,0.0088981,0,Validation,0.005,Good Visuals,0.3434263609800485,0.33115113712575595,0.006507315907755647,-0.0008868419923197576,4.468407724782674,0.49356096103667957,0.8433440173488627,1.1393372231014127,-0.3307472387593935,0,0.0004038983663624738,20.0,0.1,0.058197026499956346,-0.0020463870107426496
2,0.018519900000000256,0.8557698388378596,1.1921394853499983,-0.04939754068446178,0.43779403976260844,4.097090571822145,0.9105823718685623,0.736050037203345,0,0.0071504,0,Validation,0.005,Good Visuals,0.3129787180154916,0.4877495875440292,0.014312511656077925,-0.0020553487784807883,4.462279462011419,0.4937099479505611,0.8532488892091079,1.1086620185470313,-0.4866488373614181,0,0.001100750182610981,20.0,0.1,0.1279377016153365,-0.0046653485455624335
3,0.0262784000000007,0.8637809001045136,1.159808175243402,-0.0468014717640487,0.4237581380400569,2.1474077450919435,0.916307326133791,0.7155524040799088,0,0.007758500000000001,0,Validation,0.005,Good Visuals,0.2811964687042816,0.5242539674683713,0.022752570455984635,-0.0035608485139897936,4.453308986973725,0.4940868682779346,0.8614124170120951,1.080364143716033,-0.5220202054999806,0,0.0022337619683907755,20.0,0.1,0.203166132439133,-0.007879067125473791
4,0.034385200000000005,0.8730485984326035,1.0970268171653095,-0.04325872770118744,0.38147441308540064,-0.49767556997206563,0.9221163866414664,0.6934247060865174,0,0.0081068,0,Validation,0.005,Good Visuals,0.29235985455846897,0.33643054864297506,0.029107230693019463,-0.004677866378591678,4.44586136893457,0.49446788360358546,0.8699577275450443,1.049165931494104,-0.33347006478001445,0,0.0029604838629606104,20.0,0.1,0.2596606558681403,-0.010272089043358084
5,0.04196169999999988,0.8818450578626549,1.1151991367448115,-0.040271328778811566,0.4217744306582941,-0.10055481014441686,0.9273806049021982,0.6720979811875273,0,0.007576500000000001,0,Validation,0.005,Good Visuals,0.27787416547336996,0.3051050921687627,0.03330642247418669,-0.005428040599599257,4.440905624940914,0.4946973574275811,0.878312338212996,1.0164068062931129,-0.3016522065464417,0,0.003452885622320966,20.0,0.1,0.29693067560257735,-0.011871744031742897
6,0.04962010000000028,0.8896990394966294,1.1448842374415524,-0.03768156540556877,0.47278625625402515,0.4090581199915596,0.9325349432109804,0.6499161159008037,0,0.0076584,0,Validation,0.005,Good Visuals,0.22931048959493383,0.4482398754523974,0.03874120627767052,-0.0066322608692757565,4.436520670438367,0.4949696884825621,0.8863105925991144,0.9815019189957209,-0.44395574354226275,0,0.004284131910134614,20.0,0.1,0.34525320596105274,-0.014309035301389453
7,0.05814050000000037,0.8992808970900783,1.0862596758403462,-0.0332540461209021,0.43634355993954255,-2.510348995603972,0.9380665672245077,0.6245131565532978,0,0.008520400000000001,0,Validation,0.005,Good Visuals,0.21555162404427378,0.33349013828878676,0.04374618980682278,-0.007891474241599973,4.4303518881183965,0.4955295748688199,0.8942901324353421,0.9436749630708714,-0.3285371768710019,0,0.004952961417784829,20.0,0.1,0.3895357583399007,-0.016793629345900805
8,0.06611620000000062,0.9077631972547706,1.0368784242264422,-0.030303369969737037,0.4123652676731444,-6.0009906159588295,0.9430454068342567,0.600057240087084,0,0.0079757,0,Validation,0.005,Good Visuals,0.21798139746175996,0.16259472449184825,0.046160662624363705,-0.008516116345946016,4.427126747733155,0.4958554457439145,0.9023922891326529,0.9034399007504779,-0.1574169021813403,0,0.00517782231050795,20.0,0.1,0.4108490151687337,-0.01802010782503197
9,0.074789,0.916873815950181,1.0391859562001553,-0.026171590884075724,0.43912871611307125,-5.696908208128823,0.9482346669725235,0.5727388924801164,0,0.008672800000000001,0,Validation,0.005,Good Visuals,0.20113989555818157,0.08344595461412872,0.04702369374082346,-0.008755718938727074,4.425695626872062,0.4960026528289414,0.9099958689419795,0.8627976111833258,-0.07831336351273335,0,0.005132591101395326,20.0,0.1,0.4184363392692978,-0.018484758350924706
10,0.08263150000000063,0.9237853197880787,1.0465179307787356,-0.024449347184444803,0.4737790382986191,-5.009932576918308,0.9527202620441696,0.5474026353073687,0,0.0078425,0,Validation,0.005,Good Visuals,0.1639398158892356,0.20691213854401896,0.04838455095904397,-0.009227531859846655,4.4247985979174205,0.4961277505692378,0.9174973786753471,0.8195472379815154,-0.20128703911638762,0,0.005625099427631268,20.0,0.1,0.4305248512603918,-0.01936347864051671
