,time,steering_angle,steering_rate,angle_error,rate_error,acceleration,reference_angle,reference_rate,measured_input,execution_time,repetition,condition,human_noise,setting,torque,estimated_human_gain_pos,estimated_human_gain_vel,robot_gain_pos,robot_gain_vel,state_estimate_pos,state_estimate_vel,input_estimation_error,state_estimate_derivative,virtual_human_gain_pos,virtual_human_gain_vel,virtual_human_cost_pos,virtual_human_cost_vel,virtual_human_torque,estimated_human_input,robot_cost_pos,robot_cost_vel,estimated_human_cost_1,estimated_human_cost_2
0,0.0004723000000002031,0.8245109919346412,0.9502952166775194,-0.06843372522689961,0.15813985840828637,-1.417794755631053,0.8966685122775081,0.7811158808798699,0,0.004662100000000001,0,Validation,0.005,Good Visuals,0.5094525127247813,0.0,0.0,4.472135954999585,0.49347074931775814,0.8218455509716127,0.9695091789983092,0.1928945123821489,0,0.6233619541974728,0.049464169724313944,5.011807478051162,0.010023614956102324,0.0,0.0,20.0,0.1,0.0,0.0
1,0.009530700000000003,0.8322078939359361,0.9311138806458428,-0.06446061834157202,0.14999799976597283,-1.227512691984673,0.903753863133287,0.7589572103172263,0,0.009058400000000001,0,Validation,0.005,Good Visuals,0.5324344659818065,-0.003853377039546675,0.0,4.474045636417649,0.493589027925439,0.8271900436428207,0.9848183660595452,0.18303970356913907,0,0.6515063385824671,0.05169744462444473,5.238087306609927,0.010476174613219855,0.03492207565719394,-0.0001302707663531944,20.0,0.1,-0.0344655209439026,0.0003787739226033444
2,0.017094900000000024,0.8392764774065132,0.9172394789902596,-0.06447738572677375,0.1582822686730333,-1.1723417298135166,0.9095136993018139,0.7397419130090118,0,0.0075642,0,Validation,0.005,Good Visuals,0.5249579922744074,-0.007384033049018516,0.0,4.477706090397592,0.49381569364832223,0.8361478937021043,0.9850054508723104,0.16889021233905666,0,0.6749203059011475,0.05355535790511932,5.426334753712601,0.010852669507425203,0.03552900444775772,-0.00037903582805236865,20.0,0.1,-0.06607253556650562,0.0007258254600848796
3,0.02517330000000051,0.8466592201424492,0.9253681530900981,-0.0628544791593647,0.1856262400810863,-0.834331381119931,0.9155016381501142,0.7185128260526773,0,0.008078400000000001,0,Validation,0.005,Good Visuals,0.5110627540287696,-0.010528032102894916,0.0,4.481286542591022,0.49403734283484,0.8438612324321828,0.9840391753615356,0.15350402076547578,0,0.699758141722576,0.05552625606209376,5.62603005187802,0.01125206010375604,0.03481300203761228,-0.0005989785542230713,20.0,0.1,-0.0942474177053789,0.0010348699273343303
4,0.03306950000000075,0.8540419628783853,0.9045167056624208,-0.06145967527172891,0.18600387960974352,-1.4841827056212669,0.9211858512146942,0.6970648336988629,0,0.0078962,0,Validation,0.005,Good Visuals,0.4981125993459755,-0.013160094871567213,0.0,4.483981713711159,0.49420414756942427,0.8519178147808084,0.9782898805098175,0.13281834468741635,0,0.7237948998320811,0.05743358819031375,5.819284714325965,0.011638569428651931,0.03447486408099764,-0.0007698150230723619,20.0,0.1,-0.1178460614125941,0.0012935927902144992
5,0.04153070000000003,0.8620530241450391,0.9057542888111381,-0.05913282706965506,0.2086894551122752,-1.4393964024024504,0.9270855000889863,0.6733277671977166,0,0.0084612,0,Validation,0.005,Good Visuals,0.48597501101343477,-0.015642041180843416,0.0,4.486816315696725,0.4943795439202554,0.8598780798298626,0.9697289316184672,0.1199787746321757,0,0.7492070061000906,0.05945005507448764,6.023597126030666,0.012047194252061333,0.03380146035381015,-0.0009196219854179411,20.0,0.1,-0.1401212577097134,0.001537559713151798
6,0.04952719999999999,0.8689645279829368,0.899060087393623,-0.058120972106049495,0.2257323201959064,-1.2392346756106154,0.9324734423360086,0.6501889119557502,0,0.0079965,0,Validation,0.005,Good Visuals,0.4616283375561714,-0.017471271787023478,0.0,4.488831982571169,0.4945042435578331,0.8681936448198254,0.956010658027102,0.08430721996974616,0,0.7728238782217824,0.06132406898104492,6.213475920382266,0.012426951840764533,0.03190140187007872,-0.0010287924473778198,20.0,0.1,-0.15654596180971259,0.0017173668913588978
7,0.05836350000000046,0.873205678065283,0.8756478657982122,-0.059267764270725554,0.22545895384246195,-1.2524700791502505,0.9382084182034698,0.623838194369747,0,0.0088363,0,Validation,0.005,Good Visuals,0.4522351610689279,-0.018337755635334765,0.0,4.489641354122649,0.49455430998509087,0.8749903660729058,0.9369496316688408,0.080570284694346,0,0.79839090680892,0.06335282905031911,6.41903390190767,0.01283806780381534,0.031074450694072123,-0.001015447300190801,20.0,0.1,-0.16432361880264798,0.0018025393213414874
8,0.0631219999999999,0.8810596596992574,0.8874502194336003,-0.057148758504212416,0.2636120250638533,-0.512425272602345,0.9411991974237164,0.6093141412583196,0,0.004758500000000001,0,Validation,0.005,Good Visuals,0.4534374594115991,-0.019855044208431937,0.0,4.491372076788906,0.49466135913165166,0.8829534587557126,0.9181008176132011,0.0729289442257496,0,0.8119017287816604,0.06442492141443364,6.527660420003043,0.013055320840006086,0.03259254182409242,-0.0011632992470307778,20.0,0.1,-0.17795855950180217,0.0019516836533534044
9,0.07179480000000016,0.887657004271796,0.8577109944945276,-0.053542193151920436,0.24839685323620797,-0.8699887160928703,0.9464699791930543,0.5822544367064898,0,0.008672800000000001,0,Validation,0.005,Good Visuals,0.41985308246369835,-0.020593338809952004,0.0,4.492489186338618,0.4947304472494038,0.8883195457585226,0.9075647686655666,0.03411235014448623,0,0.8360174480551216,0.0663385191615116,6.721549927342188,0.013443099854684377,0.02830754575023613,-0.0011542746255640364,20.0,0.1,-0.18460661822529206,0.002024255514187331
