,time,steering_angle,steering_rate,angle_error,rate_error,acceleration,reference_angle,reference_rate,measured_input,execution_time,torque,estimated_human_gain_pos,estimated_human_gain_vel,robot_gain_pos,robot_gain_vel,state_estimate_pos,state_estimate_vel,estimated_human_input,input_estimation_error,virtual_human_torque,state_estimate_derivative,virtual_human_gain_pos,virtual_human_gain_vel,virtual_human_cost_pos,virtual_human_cost_vel,robot_cost_pos,robot_cost_vel,estimated_human_cost_1,estimated_human_cost_2
0,0.007178800000000152,0.5554335811546754,-0.05869281124214747,0.014035180978570483,-0.18108890974988479,3.00877883464022,0.5430214769093107,0.15468900994941268,0,0.011347600000000001,0.1282176273939315,0.0,0.0,7.071067811865469,1.2392688914506023,0.5551973575205779,-0.06044898006333605,0.0,[-0.1541028],0.0,"[[-0.06605437]
 [ 0.19565677]]",0.5424298707437393,0.10615061463879846,6.215271557471532,0.2589696482279805,50.0,2.0,0.0,0.0
1,0.01922190000000068,0.5554335811546754,-0.0047513349989617235,0.012412104245364763,-0.1594403449483744,3.10477086828916,0.5450829603766784,0.1873871351909048,0,0.012043100000000001,0.13338593343414876,-0.001178677253920904,0.0033858268708023675,7.072766398616622,1.2350451114223715,0.5544182320308478,-0.054911487604460116,0.00043261238608849003,[-0.19409026],0.011305252566070262,"[[-0.04861442]
 [ 0.14514231]]",0.5738149356962595,0.1122925034153525,6.574888002010868,0.27395366675045285,50.012011413306624,1.9912743565010893,-0.016671628472622057,0.011889782780254486
2,0.032891100000000506,0.5557477404200344,0.022187112584288165,0.010664780043356026,-0.16520002260661665,3.1288088914939522,0.5478865835605848,0.2224519239772787,0,0.013669200000000001,0.15788309961859598,-0.002164808681159051,0.006452066291365863,7.074672885233094,1.2303714054236512,0.5539161540957882,-0.04931026880840644,0.0009536412928037173,[-0.18727001],0.013906790409160315,"[[-0.03887344]
 [ 0.61796472]]",0.6089901366009856,0.11917610145717916,6.977932593584947,0.2907471913993728,50.02549571576096,1.9816268489093443,-0.03062594016000028,0.022607854810780342
3,0.044524700000000195,0.5565331385834318,0.05216133781800201,0.008646555022846947,-0.1702905861592767,3.1750801546053555,0.5506393123214238,0.25050634908525293,0,0.011633600000000001,0.17807178364342727,-0.002956973897302903,0.009490540651328747,7.076519307740078,1.2248721667608569,0.5535925144268983,-0.04027526574435649,0.0015516404597053762,[-0.19443784],0.016393471695169783,"[[-0.02341848]
 [ 0.97357202]]",0.6383289679313765,0.12491755329543226,7.314102877952234,0.30475428658134307,50.038557977928306,1.9703228781940014,-0.041841422058865506,0.033154121655269445
4,0.056907800000000286,0.5576326960121882,0.0735779376578119,0.00699338369076441,-0.17692841142744103,3.0974811364697414,0.5539166882852367,0.27849819621853344,0,0.012383100000000001,0.18964909454511275,-0.00377758628756135,0.013633550219366916,7.078258377954434,1.2178464073314506,0.5534799056165035,-0.02484835738289,0.002295531891018469,[-0.20111705],0.018174395076372935,"[[0.00236212]
 [1.04289014]]",0.6687440284707216,0.13086961741406378,7.662604815040934,0.31927520062670556,50.050863076957256,1.9559539887502433,-0.05346319341859385,0.0474406235998939
5,0.07042020000000004,0.5588893330736242,0.09381889611723655,0.004972644788387548,-0.1846793001012969,2.9967961650907604,0.5578736506733118,0.3067828761090222,0,0.0135124,0.2250234043497127,-0.004212463476879228,0.0167756006622604,7.0792735291913775,1.2125001941509412,0.5536598610103014,-0.008779243285020603,0.0030788836973268093,[-0.17305347],0.022308922015148672,"[[0.02482551]
 [1.44727105]]",0.7007577910115844,0.1371345389346166,8.029425004155987,0.33455937517316614,50.058047511139485,1.945061506709623,-0.05962461752056914,0.05819958561665734
6,0.0815349000000003,0.5601459701350601,0.10360711708788811,0.002272319461748218,-0.2031757590211341,2.8394261452547576,0.5614042430023712,0.32824495068973775,0,0.0111147,0.2667977246644252,-0.0044233611370275185,0.019609644314531712,7.079846192072639,1.2076707957138602,0.5541131573128183,0.01058127735484022,0.0038937711419880063,[-0.13676497],0.027358633687218636,"[[0.04766271]
 [1.91041243]]",0.7260281626613784,0.14207981504763467,8.31897805171649,0.3466240854881871,50.06210123171773,1.9352737064304064,-0.0626138668805442,0.06784301441665644
7,0.09297779999999989,0.561716766461855,0.1332918317362013,0.00031252345948373783,-0.19495311895353645,2.7729443313868574,0.5652785478717857,0.3486164794327426,0,0.0114429,0.27570794322260983,-0.004456865829391717,0.022119790746033673,7.079998109086741,1.2032503071167355,0.5548501361350638,0.03089892813295113,0.004330257766549291,[-0.14292832],0.029086350919357972,"[[0.07674265]
 [1.80446096]]",0.7509347628488042,0.14695390303772457,8.60436293202548,0.35851512216772835,50.06317677806722,1.9263505618027963,-0.06308933963607213,0.07632888078462433
8,0.10449360000000052,0.5637588016866883,0.14778844421004042,-0.0015197461850973149,-0.20082803522270218,2.6094139226768864,0.5694026592766165,0.36733792185623754,0,0.011515800000000001,0.2888860889026466,-0.00431401189432925,0.025439404813704332,7.0797781639958375,1.1976971821739544,0.5562688419568907,0.05679989703293899,0.004999446323909137,[-0.13694196],0.03136292587218902,"[[0.11013307]
 [1.66619983]]",0.7747825262813466,0.15162078235735732,8.877615445881993,0.3699006435784164,50.061620377109726,1.9151887148038709,-0.06106588371875667,0.08749683178319057
9,0.11880779999999991,0.5665862350749192,0.18813686143528247,-0.002816424201697254,-0.17920106042095507,2.591212925879001,0.5748127921914972,0.38811236984537845,0,0.014314200000000001,0.26929415078583413,-0.004021118585380485,0.028750974334792238,7.07928389705359,1.1923110241849955,0.558140400676781,0.07912535018826115,0.005007625129102106,[-0.18141574],0.029998031465463003,"[[0.14169223]
 [1.1256771 ]]",0.8026359543425181,0.15707154874755808,9.196765678094158,0.3831985699205899,50.05812256090784,1.9043967155446926,-0.05691711070457628,0.09857855300793207
10,0.13296820000000054,0.5690995091977911,0.197970213051889,-0.005713282993706104,-0.19014215679348945,2.524119885781562,0.5804380813919884,0.4059492732553558,0,0.0141604,0.3161240644955938,-0.0036382712578023266,0.0314161319010883,7.078693586855045,1.1880359463392371,0.5599180270938099,0.09683489466304825,0.005909990822723477,[-0.14035216],0.03611281413401339,"[[0.15971526]
 [1.67015118]]",0.8281801579600074,0.16207041230707642,9.489456347920946,0.3953940144967061,50.05394521426049,1.8958658618775734,-0.05149517782194337,0.10744888236073297
11,0.1445255000000003,0.5716127833206628,0.21697125692069602,-0.008825298071325594,-0.18897801633465977,2.434260915597225,0.5852041310244005,0.4185243139391906,0,0.011557300000000001,0.3469188262545845,-0.0031788736897565275,0.033617617579849886,7.0777525139258985,1.1838296799190033,0.5618611594641977,0.11625960102319818,0.006570392087729168,[-0.11595268],0.04056562753457367,"[[0.18533085]
 [1.87416782]]",0.8475330047014644,0.16585766055319418,9.71120519398534,0.40463354974938914,50.04728577973412,1.8875126101757094,-0.04498845726031889,0.11469126349689748
12,0.15674010000000038,0.5753826945049706,0.24902273527421873,-0.009821436519429905,-0.16950157866497187,2.3900962045471315,0.5903877235736869,0.42990486120915594,0,0.0122146,0.32402183405684215,-0.002223574961705733,0.036832898038061196,7.076000842706961,1.1786943061521022,0.5649312357694865,0.1386000363704237,0.006371488787437443,[-0.15715014],0.03857183558964815,"[[0.21639703]
 [1.24925112]]",0.866536701996258,0.16957658212638502,9.928953414822038,0.41370639228425155,50.03489213665202,1.8773633146922684,-0.0314630923200934,0.12526273977063299
13,0.17104440000000043,0.5793096853219578,0.26653065164335454,-0.011078038251729039,-0.1633742095658014,2.2822014951847325,0.5966181503520346,0.4407871387576825,0,0.0143043,0.3254116837653459,-0.0010725942042923776,0.040040825262134906,7.073760406432695,1.1733062901219589,0.5682436403778269,0.15591747166726075,0.006673026310198282,[-0.16462536],0.03943438284583947,"[[0.23860117]
 [1.04320447]]",0.8869389375128196,0.17356919012402183,10.16272637046892,0.42344693210287176,50.01904303266399,1.866767863400085,-0.015173398370658122,0.13572196375825102
14,0.18531860000000044,0.5833937557716246,0.30219360553087415,-0.013224394580410026,-0.13859353322680834,2.2365304940097386,0.6029722719274725,0.44908869247411287,0,0.0142742,0.31201507297469083,0.00035414507466545307,0.04327324319111809,7.071128968094599,1.168064199366381,0.5719179252182018,0.17051827715415155,0.006381999374495106,[-0.19389725],0.03839035685188546,"[[0.26228947]
 [0.70446599]]",0.9053783503293523,0.17717768425317018,10.374008905219327,0.4322503710508053,50.000432462518944,1.8565155376947304,0.005008536411483729,0.14619885142339634
15,0.1995111999999999,0.5871636669559323,0.31222645467333554,-0.01580860497154024,-0.13686223780077733,2.1290445795564112,0.6093900641877457,0.45489910758402086,0,0.014192600000000001,0.3374896836560192,0.0016964887480095771,0.04575728144791608,7.0685881184861294,1.1639190420800434,0.5749723115912685,0.18035416758227726,0.0068124106952613915,[-0.17092397],0.04208311507769197,"[[0.27379751]
 [0.99805785]]",0.9219067758691861,0.18041220842798988,10.563394959874948,0.4401414566614561,49.982467189327025,1.8484579004003203,0.023986438488723935,0.154180601335425
16,0.2110133000000003,0.5904623392422016,0.3305968596203726,-0.018927724945544067,-0.12430224796364825,2.0686318792625102,0.6146410066888395,0.45789101340374594,0,0.011502100000000001,0.33202079619050984,0.0032102234637024826,0.047927979581821115,7.065738718007581,1.1601662256054026,0.5779581143725868,0.18955613011257597,0.006199564550327133,[-0.19266111],0.04166549062167569,"[[0.28847717]
 [0.86686416]]",0.9340565819527407,0.18278986027401228,10.702609904060031,0.44594207933583463,49.962325586987724,1.8412176419494595,0.045375505976564985,0.16108204613301352
17,0.22345350000000064,0.5954888874879453,0.33138710781176284,-0.019152119200894213,-0.1265039055919831,1.8249142860806964,0.6203488401524735,0.459472202521763,0,0.0124402,0.340072126382873,0.005400992509260414,0.05072645013116695,7.0612772006953675,1.155446482634356,0.5824147323705822,0.20317110285606374,0.00680892458206675,[-0.17521095],0.043275002971975104,"[[0.30636955]
 [0.73221283]]",0.9460207865626034,0.18513119090770308,10.839698188887507,0.4516540912036461,49.93080058774331,1.8321907365157428,0.07630498125361913,0.16993101949375905
18,0.2366955000000006,0.5994158783049325,0.33151348127829694,-0.02093296184754101,-0.12795872124346608,1.5993644083260121,0.6264344029959709,0.4593577941184682,0,0.013242,0.35073707315639935,0.007064081951132386,0.05268996160493218,7.057910822926069,1.1520159276401585,0.5859709203912801,0.2119254138599232,0.006895553666316539,[-0.15868604],0.04496250209970787,"[[0.31541959]
 [0.77228558]]",0.9575035474869007,0.18737830559589913,10.971269994245821,0.45713624976024253,49.9070221440488,1.8256468351908177,0.09976522216768026,0.17609125309012486
