,time,steering_angle,steering_rate,angle_error,rate_error,acceleration,reference_angle,reference_rate,measured_input,execution_time,repetition,condition,human_noise,setting,torque,estimated_human_gain_pos,estimated_human_gain_vel,robot_gain_pos,robot_gain_vel,state_estimate_pos,state_estimate_vel,input_estimation_error,state_estimate_derivative,estimated_human_input,robot_cost_pos,robot_cost_vel,estimated_human_cost_1,estimated_human_cost_2
0,0.004275800000000274,0.29059732045705583,-0.7110094561094337,0.04142349358964037,-0.16713522302407813,-1.2255790353805724,0.2460025822994164,-0.5419146900647569,0,0.0058408,0,Manual Control,0.035,Bad Visuals,0,0.0,0.0,0,0,0.2903275045125383,-0.7100154852430589,0.2824691605300766,4.138126102982728,0.0,0,0,0.0,0.0
1,0.008145900000000594,0.2863561703747097,-0.6518780022975142,0.04035358807529327,-0.10996331223275735,-0.16454216994093795,0.2439084160793281,-0.5402670509951077,0,0.0038701000000000004,0,Manual Control,0.035,Bad Visuals,0,0.001983707588779676,0.0,0,0,0.28587114470107716,-0.682291995604551,0.23150803043104945,4.382813651072438,-4.8087255568785565e-05,0,0,3.935095797782076e-06,-0.0001949917428242357
2,0.013665000000000482,0.2824291795577224,-0.6962690030731803,0.03852076347839431,-0.15600195207807255,-1.2697069548027475,0.2409341943746117,-0.5374289785560777,0,0.005519100000000001,0,Manual Control,0.035,Bad Visuals,0,0.0034417107748308433,0.0,0,0,0.28211678924785005,-0.6585483823859751,0.23333478507010277,4.126238708436586,-0.00010602288936428969,0,0,1.1845373057586724e-05,-0.00033830852191983743
3,0.01930209999999999,0.2789734276387736,-0.6897543630732164,0.03803923326416189,-0.15232538451713862,-0.6402384799612552,0.23791422906757106,-0.5339298136777719,0,0.0056371,0,Manual Control,0.035,Bad Visuals,0,0.005152313823485765,0.0,0,0,0.2785153866708768,-0.6386294089164207,0.2748575122580067,3.4723510791497536,-0.00017141849532470885,0,0,2.6546337735682506e-05,-0.0005064550126749932
4,0.024663799999999902,0.27693139241394027,-0.6542424877893427,0.039017163346369205,-0.12031267411157076,0.5168797056171023,0.23506165928436057,-0.5300311404757818,0,0.0053617000000000005,0,Manual Control,0.035,Bad Visuals,0,0.005920952310892461,0.0,0,0,0.27667563884468543,-0.6285314193288902,0.2381969568149651,3.4851900281391837,-0.00019599006738174087,0,0,3.5057676267862774e-05,-0.0005820095748034856
5,0.027585000000000193,0.2728473219642735,-0.6883339766235126,0.03778566267991296,-0.15830283614773077,-0.07821445366514307,0.2335167393614361,-0.5276705764144146,0,0.0029212,0,Manual Control,0.035,Bad Visuals,0,0.0070054390885963885,0.0,0,0,0.2731960216107267,-0.6086672104093714,0.1643341392277549,3.500599419755006,-0.00025561398539469224,0,0,4.90761768240342e-05,-0.0006886109549919924
6,0.03319019999999995,0.27080528673944015,-0.7044383750873451,0.03728854737800405,-0.17676779867293047,-0.09044508915206045,0.2305727651991305,-0.5226696634772597,0,0.0056052,0,Manual Control,0.035,Bad Visuals,0,0.00770532138285986,0.0,0,0,0.27135137871361636,-0.5993978844611447,0.21007959588186892,3.0725689300672108,-0.00026470515832638,0,0,5.937197761315739e-05,-0.0007574070160153877
7,0.03637720000000044,0.26750661445317087,-0.6811590890107828,0.03693384925404036,-0.15848942553352308,0.7440682051307673,0.22891193783013092,-0.5195477997062932,0,0.003187,0,Manual Control,0.035,Bad Visuals,0,0.008971868587708778,0.0,0,0,0.26805336398261065,-0.5842270164971126,0.2064924895912622,2.710415425144007,-0.00031967473106563326,0,0,8.04944259551155e-05,-0.0008819043200734832
8,0.04138970000000075,0.265307499595658,-0.6417162732000579,0.03639556176552711,-0.1221684734937647,2.075517381500691,0.22632083117425955,-0.5142260708346748,0,0.0050125000000000005,0,Manual Control,0.035,Bad Visuals,0,0.009498311662863395,0.0,0,0,0.2663390046729256,-0.5761186064772728,0.16744666779621417,2.7839078554692858,-0.000331365641945496,0,0,9.021792444488679e-05,-0.0009336518928018295
9,0.04454980000000042,0.26138050877867075,-0.6659497827153965,0.0350596776044112,-0.15172371188072176,1.9964851168959736,0.22470148452973243,-0.5106107845092932,0,0.0031601000000000003,0,Manual Control,0.035,Bad Visuals,0,0.009991668383912826,0.0,0,0,0.26309132004568236,-0.5596777058207777,0.07377987644451622,2.908987295391756,-0.0003618588121069319,0,0,9.983343709408314e-05,-0.000982147188890634
10,0.05029130000000048,0.2580818364924015,-0.6845530550648875,0.033380351962669086,-0.1739422705555943,2.3535741884180252,0.22178983667971697,-0.5035238588369573,0,0.0057415,0,Manual Control,0.035,Bad Visuals,0,0.010588963027964885,0.0,0,0,0.25999727917482024,-0.5465539071880955,0.11829332156030456,2.252477149834224,-0.00035540229971853455,0,0,0.00011212613800760727,-0.0010408592310696633
11,0.05671630000000061,0.25415484567541424,-0.6417473261123747,0.032365008995697275,-0.13822346727541746,3.733756737132835,0.21858228365433435,-0.49479527571925497,0,0.006425,0,Manual Control,0.035,Bad Visuals,0,0.010890490794477351,0.0,0,0,0.2568597118233956,-0.5335986678384816,0.022875852495283525,2.4017432888231682,-0.00037073238837615104,0,0,0.00011860278974459593,-0.0010704983901043547
12,0.061169300000000426,0.25211281045058087,-0.6534979743738928,0.03353052679624652,-0.15870269865463782,3.4426283236380804,0.21639338568039107,-0.48824825384525844,0,0.004453,0,Manual Control,0.035,Bad Visuals,0,0.01091553069841444,0.0,0,0,0.2551736773362776,-0.5263572525313632,0.008663901156964984,2.3847116206014807,-0.00035247083253081785,0,0,0.00011914881042802805,-0.0010729597279227213
