,steering_angle,steering_rate,torque,time,execution_time,stiffness,damping
0,0.3282964323001334,2.20746307664575,0.3425076429305918,0.40192604064941406,0.0019943714141845703,0.0,0.05
1,0.33285174164783854,2.2161738993080053,0.3419551066470853,0.40392541885375977,0.001999378204345703,0.0,0.05
2,0.3372499713628642,2.2258752780680906,0.34166062506598527,0.4059162139892578,0.001990795135498047,0.0,0.05
3,0.34164820107789,2.2315843845975163,0.3416309060053789,0.4079110622406006,0.0019948482513427734,0.0,0.05
4,0.3460464307929157,2.2311143663911093,0.34186980808431927,0.40990591049194336,0.0019948482513427734,0.0,0.05
5,0.3506017401406209,2.2289384635520433,0.3423821363141006,0.4118998050689697,0.001993894577026367,0.0,0.05
6,0.3551570494883261,2.230602267871463,0.3431714287761465,0.4138946533203125,0.0019948482513427734,0.0,0.05
7,0.35955527920335184,2.2340031682138903,0.34424191547968175,0.4158895015716553,0.0019948482513427734,0.0,0.05
8,0.364110588551057,2.2361487565783675,0.345596242629167,0.41788411140441895,0.001994609832763672,0.0,0.05
9,0.3683517386334032,2.235314305399328,0.3472366226536663,0.4198787212371826,0.001994609832763672,0.0,0.05
10,0.37306412761378793,2.2334149792735145,0.34916508309894445,0.4218730926513672,0.0019943714141845703,0.0,0.05
11,0.3774623573288136,2.235639719597926,0.3513826723369736,0.42386794090270996,0.0019948482513427734,0.0,0.05
12,0.38186058704383935,2.23676627718197,0.35389100798328754,0.42586255073547363,0.001994609832763672,0.0,0.05
13,0.3864158963915445,2.235102992186296,0.35668944511041867,0.4278573989868164,0.0019948482513427734,0.0,0.05
14,0.39097120573924976,2.2367870705995587,0.3597782808787848,0.429851770401001,0.0019943714141845703,0.0,0.05
15,0.39536943545427544,2.239934724820177,0.36315540504011856,0.43184661865234375,0.0019948482513427734,0.0,0.05
16,0.39992474480198065,2.2420359437662807,0.36682089855233696,0.4338412284851074,0.001994609832763672,0.0,0.05
17,0.4044800541496858,2.2456765934627407,0.37077137962541784,0.43683338165283203,0.0029921531677246094,0.0,0.05
18,0.40872120423203206,2.2468586196796707,0.3772267032324923,0.4388279914855957,0.001994609832763672,0.0,0.05
19,0.41343359321241674,2.2442685983572916,0.3818776203024957,0.4408223628997803,0.0019943714141845703,0.0,0.05
20,0.41798890256012194,2.245678731630566,0.38680131018220476,0.44281721115112305,0.0019948482513427734,0.0,0.05
21,0.42223005264246816,2.247602746279311,0.391994838722181,0.4448118209838867,0.001994609832763672,0.0,0.05
22,0.4269424416228529,2.246397234183945,0.3974510675419377,0.4468064308166504,0.001994609832763672,0.0,0.05
23,0.4314977509705581,2.2492864009569447,0.4031647075867799,0.44880127906799316,0.0019948482513427734,0.0,0.05
24,0.43573890105290425,2.2517799364312436,0.4091300302303701,0.45079565048217773,0.0019943714141845703,0.0,0.05
25,0.44029421040060945,2.2474318258908426,0.4153378421179216,0.4527904987335205,0.0019948482513427734,0.0,0.05
26,0.44500659938099413,2.246543216788215,0.4217835559349285,0.4547851085662842,0.001994609832763672,0.0,0.05
27,0.4492477494633404,2.250153357791783,0.42845681462042784,0.45677995681762695,0.0019948482513427734,0.0,0.05
28,0.4538030588110456,2.249736814239192,0.43535060238870965,0.4587748050689697,0.0019948482513427734,0.0,0.05
29,0.46071456264894317,2.239158962559933,0.44245501526222386,0.46176648139953613,0.0029916763305664062,0.0,0.05
30,0.4652698719966483,2.2177505703272065,0.45348315711323123,0.4637610912322998,0.001994609832763672,0.0,0.05
31,0.4698251813443535,2.2020438123234207,0.46107006428794467,0.4657557010650635,0.001994609832763672,0.0,0.05
32,0.47422341105937926,2.198804120946837,0.4688318618444217,0.4677581787109375,0.0020024776458740234,0.0,0.05
33,0.47877872040708447,2.2018901105563504,0.47678891711607296,0.4697451591491699,0.001986980438232422,0.0,0.05
34,0.48349110938746914,2.2129106447666516,0.4848358730045772,0.4717409610748291,0.0019958019256591797,0.0,0.05
35,0.48804641873517435,2.2312330492933468,0.49305845110973656,0.47373485565185547,0.001993894577026367,0.0,0.05
36,0.4926017280828795,2.2495414395541617,0.5014008116029222,0.47572970390319824,0.0019948482513427734,0.0,0.05
37,0.49715703743058476,2.2633787571446726,0.5098621000614081,0.477724552154541,0.0019948482513427734,0.0,0.05
38,0.5015552671456105,2.271114825539973,0.5184252934147315,0.4797191619873047,0.001994609832763672,0.0,0.05
39,0.5064247357586746,2.277327999467792,0.5270759882334487,0.48171353340148926,0.0019943714141845703,0.0,0.05
40,0.5108229654737003,2.2858393602475413,0.535800518121877,0.48370862007141113,0.001995086669921875,0.0,0.05
41,0.5153782748214055,2.2896906216308945,0.5445891883105233,0.4857029914855957,0.0019943714141845703,0.0,0.05
42,0.5199335841691107,2.2885023523060797,0.5534215836213292,0.4876976013183594,0.001994609832763672,0.0,0.05
43,0.5246459731494955,2.288862149227885,0.5622875978588486,0.48969268798828125,0.001995086669921875,0.0,0.05
44,0.5295154417625596,2.2965229670716676,0.5711738179033802,0.4916868209838867,0.0019941329956054688,0.0,0.05
45,0.5339136714775853,2.3076256009954252,0.5800592409410626,0.4936816692352295,0.0019948482513427734,0.0,0.05
46,0.5387831400906495,2.311993631134289,0.5889365576414215,0.49567675590515137,0.001995086669921875,0.0,0.05
47,0.545694643928547,2.3300884633348145,0.597788800739207,0.49866819381713867,0.0029914379119873047,0.0,0.05
48,0.5504070329089318,2.3759699629658875,0.6109803295109041,0.5006632804870605,0.001995086669921875,0.0,0.05
49,0.5552765015219959,2.419143177161458,0.619702038861036,0.5026581287384033,0.0019948482513427734,0.0,0.05
